Quality,D1,D2
1,"Ms Stewart, the chief executive, was not expected to attend.","Ms Stewart, 61, its chief executive officer and chairwoman, did not attend.
"
1,"After more than two years' detention under the State Security Bureau, the four were found guilty of subversion in Beijing's No. 1 Intermediate Court last Wednesday.","After more than two years in detention by the State Security Bureau, the four were found guilty last Wednesday of subversion.
"
1,"""It still remains to be seen whether the revenue recovery will be short- or long-lived,"" Sprayregen said.","""It remains to be seen whether the revenue recovery will be short- or long-lived,"" said James Sprayregen, UAL bankruptcy attorney, in court.
"
0,"And it's going to be a wild ride,"" said Allan Hoffenblum, a Republican consultant.","Now the rest is just mechanical,"" said Allan Hoffenblum, a Republican consultant.
"
1,"The cards are issued by Mexico's consulates to its citizens living abroad and show the date of birth, a current photograph and the address of the card holder.","The card is issued by Mexico's consulates to its citizens living abroad and shows the date of birth, a current photograph and the address of the cardholder.
"
1,"Their difference was over whether the court should pay attention to legal opinions of other world courts, such as the European Court of Human Rights.","Their difference was over whether the court should take into account the legal opinions of other world courts, like the European Court of Human Rights.
"
1,"The only announced Republican to replace Davis is Rep. Darrell Issa of Vista, who has spent $1.71 million of his own money to force a recall.","So far the only declared major party candidate is Rep. Darrell Issa, a Republican who has spent $1.5 million of his own money to fund the recall.
"
1,"Druce will face murder charges, Conte said.","Conte said Druce will be charged with murder.
"
0,"""It's a major victory for Maine, and it's a major victory for other states.","The Maine program could be a model for other states.
"
1,"Microsoft said Friday that it is halting development of future Macintosh versions of its Internet Explorer browser, citing competition from Apple Computer's Safari browser.","Microsoft will stop developing versions of its Internet Explorer browser software for Macintosh computers, saying that Apple's Safari is now all that Apple needs.
"
0,New legit download service launches with PC users in mind.,"BuyMusic is the first subscription-free paid download music service for PC users.
"
0,"All patients developed some or all of the symptoms of E. coli food poisoning: bloody diarrhea, vomiting, abdominal cramping and nausea.","Symptoms of the E. coli infection include bloody diarrhea, nausea, vomiting and abdominal cramping.
"
0,"Nine years ago, they were married by a justice of the peace.","His wife, married to Moore by a justice of the peace, started planning her dream wedding.
"
1,"""Indeed, Iran should be put on notice that efforts to try to remake Iraq in their image will be aggressively put down,"" he said.","""Iran should be on notice that attempts to remake Iraq in Iran's image will be aggressively put down,"" he said.
"
0,The euro tagged another record high against the dollar on Tuesday as demand for higher-yielding euro-based assets overshadowed solid U.S. economic data.,"The euro ros further into record territory on Tuesday as demand for higher-yielding euro-based assets overshadowed U.S. economic data showing rising consumer confidence and a strong housing market.
"
0,"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.","U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.
"
0,The constitutionality of outlawing partial birth abortion is not an open question.,"Defenders of the partial birth abortion ban downplayed the legal challenges.
"
0,"Sun was the lone major vendor to see its shipments decline, falling 2.9 percent to 59,692 units.","IBM (NYSE: IBM)  was the fastest-growing vendor, with sales jumping 37 percent to 220,000 units.
"
0,"On Monday the Palestinian Prime Minister, Mahmoud Abbas, will report to the Palestinian parliament on his Government's achievements in its first 100 days in office.","Palestinian Prime Minister Mahmoud Abbas must defend the record of his first 100 days in office before Parliament today as the death toll in the occupied territories continues to rise.
"
1,"The NASD also alleges Young flew multiple times on Tyco corporate jets, often accompanied by Kozlowski.","The NASD alleges that the analyst flew multiples times on Tyco's corporate jets for business trips, sometimes accompanied by Kozlowski.
"
